window_id,validation_start,validation_end,test_start,test_end,selected,alpha_name,mode,k,gross,rebalance_every,validation_return_pct,validation_max_drawdown_pct,worst_validation_segment_return_pct,test_return_pct,test_final_equity,test_pnl,test_max_drawdown_pct,worst_test_segment_return_pct,test_stress_return_pct,validation_initial_cash,validation_final_equity,validation_pnl,validation_sharpe_like,validation_bars,validation_active_rate,validation_avg_turnover_per_bar,validation_total_turnover,validation_mean_gross_exposure,validation_stop_exits,validation_take_profit_exits,validation_filter_exits,test_initial_cash,test_sharpe_like,test_bars,test_active_rate,test_avg_turnover_per_bar,test_total_turnover,test_mean_gross_exposure,test_stop_exits,test_take_profit_exits,test_filter_exits
1,2026-01-01T00:00:00,2026-01-31T00:00:00,2026-01-31T00:00:00,2026-02-07T00:00:00,cash,cash,cash,0,0.0,0,0.0,0.0,,0.0,10000.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,
2,2026-01-08T00:00:00,2026-02-07T00:00:00,2026-02-07T00:00:00,2026-02-14T00:00:00,cash,cash,cash,0,0.0,0,0.0,0.0,,0.0,10000.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,
3,2026-01-15T00:00:00,2026-02-14T00:00:00,2026-02-14T00:00:00,2026-02-21T00:00:00,cash,cash,cash,0,0.0,0,0.0,0.0,,0.0,10000.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,
4,2026-01-22T00:00:00,2026-02-21T00:00:00,2026-02-21T00:00:00,2026-02-28T00:00:00,cash,cash,cash,0,0.0,0,0.0,0.0,,0.0,10000.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,
5,2026-01-29T00:00:00,2026-02-28T00:00:00,2026-02-28T00:00:00,2026-03-07T00:00:00,cash,cash,cash,0,0.0,0,0.0,0.0,,0.0,10000.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,
6,2026-02-05T00:00:00,2026-03-07T00:00:00,2026-03-07T00:00:00,2026-03-14T00:00:00,cash,cash,cash,0,0.0,0,0.0,0.0,,0.0,10000.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,
7,2026-02-12T00:00:00,2026-03-14T00:00:00,2026-03-14T00:00:00,2026-03-21T00:00:00,cash,cash,cash,0,0.0,0,0.0,0.0,,0.0,10000.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,
8,2026-02-19T00:00:00,2026-03-21T00:00:00,2026-03-21T00:00:00,2026-03-28T00:00:00,cash,cash,cash,0,0.0,0,0.0,0.0,,0.0,10000.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,
9,2026-02-26T00:00:00,2026-03-28T00:00:00,2026-03-28T00:00:00,2026-04-04T00:00:00,cash,cash,cash,0,0.0,0,0.0,0.0,,0.0,10000.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,
10,2026-03-05T00:00:00,2026-04-04T00:00:00,2026-04-04T00:00:00,2026-04-11T00:00:00,alpha_policy,rev_96,short_only,1,0.5,24,5.891491979473651,-5.482509705895932,0.7108607072371598,-0.33118594281553726,9966.881405718446,-33.11859428155367,-3.0824976758145217,-0.4691971994165933,-1.8671184376614636,10000.0,10589.149197947365,589.1491979473649,2.042540033986297,2452.0,1.0,0.023858075040783033,58.5,0.5,0.0,0.0,0.0,10000.0,-0.5176487575643358,620.0,1.0,0.025,15.5,0.5,0.0,0.0,0.0
11,2026-03-12T00:00:00,2026-04-11T00:00:00,2026-04-11T00:00:00,2026-04-18T00:00:00,cash,cash,cash,0,0.0,0,0.0,0.0,,0.0,10000.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,
12,2026-03-19T00:00:00,2026-04-18T00:00:00,2026-04-18T00:00:00,2026-04-25T00:00:00,cash,cash,cash,0,0.0,0,0.0,0.0,,0.0,10000.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,
13,2026-03-26T00:00:00,2026-04-25T00:00:00,2026-04-25T00:00:00,2026-05-02T00:00:00,cash,cash,cash,0,0.0,0,0.0,0.0,,0.0,10000.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,
14,2026-04-02T00:00:00,2026-05-02T00:00:00,2026-05-02T00:00:00,2026-05-09T00:00:00,alpha_policy,mom_96,short_only,1,0.5,24,5.694884882335383,-5.735816397165083,0.12492106213315424,0.6581014403154395,10065.810144031544,65.81014403154404,-2.2713163282787496,-1.0579983730524378,-1.1896645016137852,10000.0,10569.48848823354,569.4884882335391,1.6849282963072099,2637.0,1.0,0.02142586272279105,56.5,0.5,0.0,0.0,0.0,10000.0,1.1372074954724565,620.0,1.0,0.029838709677419355,18.5,0.5,0.0,0.0,0.0
15,2026-04-09T00:00:00,2026-05-09T00:00:00,2026-05-09T00:00:00,2026-05-16T00:00:00,cash,cash,cash,0,0.0,0,0.0,0.0,,0.0,10000.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,
16,2026-04-16T00:00:00,2026-05-16T00:00:00,2026-05-16T00:00:00,2026-05-23T00:00:00,cash,cash,cash,0,0.0,0,0.0,0.0,,0.0,10000.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,
17,2026-04-23T00:00:00,2026-05-23T00:00:00,2026-05-23T00:00:00,2026-05-30T00:00:00,cash,cash,cash,0,0.0,0,0.0,0.0,,0.0,10000.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,
18,2026-04-30T00:00:00,2026-05-30T00:00:00,2026-05-30T00:00:00,2026-06-06T00:00:00,cash,cash,cash,0,0.0,0,0.0,0.0,,0.0,10000.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,
19,2026-05-07T00:00:00,2026-06-06T00:00:00,2026-06-06T00:00:00,2026-06-13T00:00:00,cash,cash,cash,0,0.0,0,0.0,0.0,,0.0,10000.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,
